service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"everyday", 1,1,1,1,1,1,1,"20130401","20200331"
1,0,0,0,0,0,1,0,"20160612","20251231"
2,1,1,1,1,1,0,1,"20160613","20251231"
3,1,1,1,1,1,1,1,"20130617","20140331"
4,1,1,1,1,1,0,0,"20160617","20251231"
5,1,1,1,1,1,1,0,"20130617","20221231"
6,0,0,0,0,0,1,1,"20150531","20221231"
7,1,1,1,1,1,0,0,"20170101","20210331"
10,1,1,1,1,0,0,0,"20130726","20140726"
11,0,0,0,0,0,0,0,"20170617","20220331"
13,0,0,0,0,0,1,0,"20170101","20210331"
14,1,1,1,1,1,0,1,"20170101","20210331"
15,1,1,1,1,1,1,1,"20130617","20221231"
16,1,1,1,1,1,0,0,"20170101","20201231"
17,1,1,1,1,1,0,0,"20130618","20221231"
34,1,1,1,1,1,0,0,"20130820","20221231"
56,1,1,1,1,1,0,0,"20160531","20250331"
61,0,0,0,0,0,1,1,"20160719","20250331"
62,1,1,1,1,1,0,0,"20160719","20250331"
64,1,1,1,1,1,0,0,"20130427","20141125"
65,0,0,0,0,0,1,1,"20130427","20141125"
70,1,1,1,1,1,0,0,"20170401","20171031"
71,1,1,1,1,1,0,0,"20170101","20180331"
72,1,1,1,1,1,0,0,"20130427","20141125"
73,0,0,0,0,0,1,1,"20130427","20141125"
74,1,1,1,1,1,0,0,"20170116","20171031"
75,0,0,0,0,0,1,1,"20170116","20171031"
80,1,1,1,1,1,0,0,"20130820","20221231"
82,1,1,1,1,1,1,1,"20130820","20221231"
86,0,0,0,0,0,0,0,"20130820","20221231"
87,0,0,0,0,0,0,0,"20130820","20221231"
90,1,1,1,1,1,0,0,"20130618","20140331"
109,0,0,0,0,0,1,1,"20160719","20250331"
111,0,0,0,0,0,1,0,"20160719","20250331"
112,0,0,0,0,0,1,0,"20160719","20250331"
115,1,1,1,1,1,0,0,"20160719","20250331"
117,0,0,0,0,0,1,1,"20130716","20140331"
119,0,0,0,0,0,1,1,"20130408","20131130"
122,1,1,1,1,1,0,0,"20130719","20140331"
123,1,1,1,1,1,1,0,"20130719","20140331"
124,0,0,0,0,0,0,1,"20130719","20140331"
125,1,1,1,1,1,1,0,"20130719","20140331"
128,0,0,0,0,0,1,0,"20130703","20141130"
129,0,0,0,0,0,0,0,"20130408","20140406"
130,0,0,0,0,0,0,0,"20130401","20140331"
131,0,0,0,0,0,0,0,"20131201","20140331"
139,1,1,1,1,1,0,0,"20130722","20140331"
141,1,1,1,1,1,0,0,"20130722","20140331"
142,0,0,0,0,0,1,1,"20130722","20140331"
145,0,0,0,0,0,1,1,"20130722","20140331"
147,1,1,1,1,1,0,0,"20130722","20140331"
153,1,1,1,1,1,1,0,"20130701","20140331"
155,0,0,0,0,0,1,1,"20130408","20131030"
160,0,0,0,0,0,1,1,"20130701","20140722"
161,0,0,0,0,0,1,0,"20130401","20141130"
162,0,0,0,0,0,0,0,"20130721","20130902"
166,0,0,0,0,0,0,0,"20130404","20140401"
167,1,1,1,1,1,0,0,"20130401","20140331"
171,0,0,0,0,0,0,0,"20130408","20131130"
172,0,0,0,0,0,1,1,"20130408","20141130"
174,1,1,1,1,1,0,0,"20130722","20140331"
177,0,0,0,0,0,0,0,"20130401","20141031"
192,0,0,0,0,0,0,0,"20130701","20130831"
193,0,0,0,0,0,0,0,"20130716","20130821"
194,0,0,0,0,0,1,1,"20130716","20130821"
197,1,1,1,1,1,0,0,"20130402","20131004"
198,0,0,0,0,0,0,0,"20130717","20130831"
202,0,0,0,0,0,1,1,"20130701","20140722"
208,0,0,0,0,0,0,0,"20130726","20221231"
212,1,1,1,1,1,1,1,"20130618","20140331"
217,0,0,0,0,0,1,0,"20130618","20140331"
221,1,1,1,1,1,0,0,"20170116","20220331"
222,0,0,1,0,0,0,1,"20130618","20140331"
223,0,1,0,0,0,1,0,"20130618","20140331"
225,0,0,0,0,0,1,1,"20130427","20141124"
226,0,0,0,0,0,0,0,"20170101","20171123"
227,0,0,0,0,0,1,1,"20170401","20170930"
230,0,0,0,0,0,1,1,"20170401","20171125"
231,1,1,1,1,1,1,1,"20170401","20230331"
232,0,0,0,0,0,0,0,"20130401","20140331"
233,1,1,1,1,1,0,0,"20150531","20210331"
235,0,0,0,0,0,0,0,"20130618","20140331"
236,0,0,0,0,0,0,0,"20130401","20221231"
237,1,1,1,1,1,0,0,"20130820","20221231"
238,1,1,1,1,1,0,0,"20130820","20221231"
241,1,1,0,1,1,1,0,"20170401","20230331"
242,1,1,1,1,1,1,1,"20170101","20171123"
243,0,0,0,0,0,0,0,"20170116","20170331"
244,1,1,1,1,1,0,0,"20170427","20171125"
245,1,1,1,1,1,0,0,"20170101","20230331"
246,1,1,1,1,1,0,1,"20130617","20140331"
251,0,0,0,0,0,1,1,"20170401","20230331"
258,1,1,1,1,1,0,0,"20150531","20210601"
259,0,0,0,0,0,1,1,"20170128","20180107"
276,0,0,0,0,0,0,0,"20170128","20180128"
277,0,0,0,0,0,0,0,"20170128","20180128"
319,1,1,1,1,1,1,1,"20150531","20210601"
323,0,0,0,0,0,0,0,"20170331","20170801"
326,1,1,1,1,1,1,1,"20170116","20220331"
329,0,0,0,0,0,1,1,"20170131","20220331"
331,0,0,0,0,0,1,1,"20161118","20251231"
332,1,1,1,1,1,0,0,"20161118","20251231"
338,0,0,0,0,0,1,1,"20170131","20220331"
345,0,0,0,0,0,1,1,"20170711","20171126"
