fare_id,price,currency_type,payment_method,transfers,transfer_duration
1,20,"JPY",0,0,
2,30,"JPY",0,0,
3,60,"JPY",0,0,
4,100,"JPY",0,0,
5,150,"JPY",0,0,
6,160,"JPY",0,0,
7,170,"JPY",0,0,
8,180,"JPY",0,0,
9,190,"JPY",0,0,
10,200,"JPY",0,0,
11,210,"JPY",0,0,
12,220,"JPY",0,0,
13,230,"JPY",0,0,
14,240,"JPY",0,0,
15,250,"JPY",0,0,
16,260,"JPY",0,0,
17,270,"JPY",0,0,
18,280,"JPY",0,0,
19,290,"JPY",0,0,
20,300,"JPY",0,0,
21,310,"JPY",0,0,
22,320,"JPY",0,0,
23,330,"JPY",0,0,
24,340,"JPY",0,0,
25,350,"JPY",0,0,
26,360,"JPY",0,0,
27,370,"JPY",0,0,
28,380,"JPY",0,0,
29,390,"JPY",0,0,
30,400,"JPY",0,0,
31,410,"JPY",0,0,
32,420,"JPY",0,0,
33,430,"JPY",0,0,
34,440,"JPY",0,0,
35,450,"JPY",0,0,
36,460,"JPY",0,0,
37,470,"JPY",0,0,
38,480,"JPY",0,0,
39,490,"JPY",0,0,
40,500,"JPY",0,0,
41,510,"JPY",0,0,
42,520,"JPY",0,0,
43,530,"JPY",0,0,
44,540,"JPY",0,0,
45,550,"JPY",0,0,
46,560,"JPY",0,0,
47,570,"JPY",0,0,
48,580,"JPY",0,0,
49,590,"JPY",0,0,
50,600,"JPY",0,0,
51,610,"JPY",0,0,
52,620,"JPY",0,0,
53,630,"JPY",0,0,
54,640,"JPY",0,0,
55,650,"JPY",0,0,
56,660,"JPY",0,0,
57,670,"JPY",0,0,
58,680,"JPY",0,0,
59,690,"JPY",0,0,
60,700,"JPY",0,0,
61,710,"JPY",0,0,
62,720,"JPY",0,0,
63,730,"JPY",0,0,
64,740,"JPY",0,0,
65,750,"JPY",0,0,
66,760,"JPY",0,0,
67,770,"JPY",0,0,
68,780,"JPY",0,0,
69,790,"JPY",0,0,
70,800,"JPY",0,0,
71,810,"JPY",0,0,
72,820,"JPY",0,0,
73,830,"JPY",0,0,
74,840,"JPY",0,0,
75,850,"JPY",0,0,
76,860,"JPY",0,0,
77,870,"JPY",0,0,
78,880,"JPY",0,0,
79,890,"JPY",0,0,
80,900,"JPY",0,0,
81,910,"JPY",0,0,
82,920,"JPY",0,0,
83,930,"JPY",0,0,
84,940,"JPY",0,0,
85,950,"JPY",0,0,
86,960,"JPY",0,0,
87,970,"JPY",0,0,
88,980,"JPY",0,0,
89,990,"JPY",0,0,
90,1000,"JPY",0,0,
91,1010,"JPY",0,0,
92,1020,"JPY",0,0,
93,1030,"JPY",0,0,
94,1040,"JPY",0,0,
95,1050,"JPY",0,0,
96,1060,"JPY",0,0,
97,1070,"JPY",0,0,
98,1080,"JPY",0,0,
99,1090,"JPY",0,0,
100,1100,"JPY",0,0,
101,1110,"JPY",0,0,
102,1120,"JPY",0,0,
103,1130,"JPY",0,0,
104,1140,"JPY",0,0,
105,1150,"JPY",0,0,
106,1160,"JPY",0,0,
107,1170,"JPY",0,0,
108,1180,"JPY",0,0,
109,1190,"JPY",0,0,
110,1200,"JPY",0,0,
111,1210,"JPY",0,0,
112,1220,"JPY",0,0,
113,1230,"JPY",0,0,
114,1240,"JPY",0,0,
115,1250,"JPY",0,0,
116,1260,"JPY",0,0,
117,1270,"JPY",0,0,
118,1280,"JPY",0,0,
119,1290,"JPY",0,0,
120,1300,"JPY",0,0,
121,1310,"JPY",0,0,
122,1320,"JPY",0,0,
123,1330,"JPY",0,0,
124,1340,"JPY",0,0,
125,1350,"JPY",0,0,
126,1370,"JPY",0,0,
127,1380,"JPY",0,0,
128,1390,"JPY",0,0,
129,1400,"JPY",0,0,
130,1410,"JPY",0,0,
131,1420,"JPY",0,0,
132,1430,"JPY",0,0,
133,1440,"JPY",0,0,
134,1450,"JPY",0,0,
135,1460,"JPY",0,0,
136,1470,"JPY",0,0,
137,1480,"JPY",0,0,
138,1490,"JPY",0,0,
139,1500,"JPY",0,0,
140,1520,"JPY",0,0,
141,1530,"JPY",0,0,
142,1570,"JPY",0,0,
143,1590,"JPY",0,0,
144,1600,"JPY",0,0,
145,1620,"JPY",0,0,
146,1640,"JPY",0,0,
147,1650,"JPY",0,0,
148,1680,"JPY",0,0,
149,1700,"JPY",0,0,
150,1740,"JPY",0,0,
151,1770,"JPY",0,0,
152,1790,"JPY",0,0,
153,1820,"JPY",0,0,
154,1830,"JPY",0,0,
155,1860,"JPY",0,0,
156,1910,"JPY",0,0,
157,1950,"JPY",0,0,
