route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"36_1201","1","01","伊勢町営業所発 (一高・羽黒経由山宮循環線) 伊勢町営業所方面行き(01:伊勢町営業所〜甲府駅〜一高前〜湯村団地〜山宮〜千塚〜一高前〜甲府駅〜伊勢町営業所(一高・羽黒経由山宮循環線))","",3,"",,
"35_1202","1","02","伊勢町営業所 発(一高・千塚経由山宮循環線) 伊勢町営業所方面行き(02:伊勢町営業所〜甲府駅〜一高前〜千塚〜山宮〜湯村団地〜一高前〜甲府駅〜伊勢町営業所(一高・千塚経由山宮循環線))","",3,"",,
"45_59","1","03","敷島営業所発  昇仙峡口方面行き(03:敷島営業所〜竜王駅〜県立美術館〜甲府駅〜湯村温泉入口〜昇仙峡口)","",3,"",,
"45_1203","1","03","昇仙峡口発 敷島営業所方面行(03:敷島営業所〜竜王駅〜県立美術館〜甲府駅〜湯村温泉入口〜昇仙峡口)","",3,"",,
"34_41","1","04","敷島営業所発  昇仙峡滝上方面行き(04:敷島営業所〜竜王駅〜県立美術館〜甲府駅〜湯村温泉入口〜グリーンライン昇仙峡〜昇仙峡滝上)","",3,"",,
"34_1207","1","04","昇仙峡滝上発 敷島営業所方面行き(04:敷島営業所〜竜王駅〜県立美術館〜甲府駅〜湯村温泉入口〜グリーンライン昇仙峡〜昇仙峡滝上)","",3,"",,
"32_37","1","06","甲府駅バスターミナル発  敷島営業所方面行き(06:甲府駅〜一高前〜湯村温泉入口〜敷島仲町〜敷島営業所)","",3,"",,
"32_1200","1","06","敷島営業所発 甲府駅バスターミナル方面行き(06:甲府駅〜一高前〜湯村温泉入口〜敷島仲町〜敷島営業所)","",3,"",,
"24_25","1","08","甲府駅バスターミナル 発 （敷島） 韮崎駅 行(08:甲府駅〜一高〜湯村温泉入口〜敷島仲町〜登美〜塩崎駅〜韮崎駅（山交タウンコーチ）)","",3,"",,
"24_1199","1","08","韮崎駅 発 （敷島） 甲府駅バスターミナル 行(08:甲府駅〜一高〜湯村温泉入口〜敷島仲町〜登美〜塩崎駅〜韮崎駅（山交タウンコーチ）)","",3,"",,
"16_11","1","10","伊勢町営業所発  武田神社方面行き(10:伊勢町営業所〜南甲府駅〜遊亀公園〜甲府駅北口〜武田神社)","",3,"http://yamanashikotsu.co.jp/",,
