stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,zone_id,location_type,parent_station,stop_timezone
"S1",,"甲府駅北口","",35.667949,138.569514,,"http://yamanashikotsu.co.jp/jikoku/309.htm",1,,"Asia/Tokyo"
"S61",,"石和温泉駅入口","",35.650192,138.636987,,"",1,,"Asia/Tokyo"
"S286",,"竜王駅","",35.668443,138.519884,,"http://yamanashikotsu.co.jp/jikoku/988.htm",1,,"Asia/Tokyo"
"S448",,"鰍沢口駅","",35.540976,138.470478,,"http://yamanashikotsu.co.jp/jikoku/180.htm",1,,"Asia/Tokyo"
"S692",,"韮崎駅","",35.710969,138.450509,,"http://yamanashikotsu.co.jp/jikoku/town/705.htm",1,,"Asia/Tokyo"
"S972",,"富士山駅","",35.483849,138.795253,,"",1,,"Asia/Tokyo"
"S984",,"河口湖駅","",35.498427,138.768603,,"",1,,"Asia/Tokyo"
"S1711",,"身延駅","",35.361624,138.452733,,"http://yamanashikotsu.co.jp/jikoku/town/887.htm",1,,"Asia/Tokyo"
"S2235",,"上野原駅","",35.619057,139.116048,,"",1,,"Asia/Tokyo"
"S2250",,"猿橋駅","",35.612769,138.967593,,"",1,,"Asia/Tokyo"
"S2466",,"大月駅","",35.613078,138.942976,,"",1,,"Asia/Tokyo"
"S2568",,"都留市駅","",35.556746,138.907831,,"",1,,"Asia/Tokyo"
"S2615",,"富士駅","",35.150911,138.651393,,"",1,,"Asia/Tokyo"
"S2805",,"静岡駅北口","",34.972551,138.388891,,"",1,,"Asia/Tokyo"
"S2846",,"富士川駅","",35.141450,138.618332,,"http://yamanashikotsu.co.jp/jikoku/town/783.htm",1,,"Asia/Tokyo"
"S3292",,"石和温泉駅","",35.657246,138.635431,,"http://www.city.fuefuki.yamanashi.jp/file/4/4bbc358f8bdd8.html",1,,"Asia/Tokyo"
"P266",,"伊勢町営業所","",35.640926,138.570605,,http://yamanashikotsu.co.jp/jikoku/80.htm,0,,"Asia/Tokyo"
"P258",,"甲南住宅","",35.642759,138.569878,,http://yamanashikotsu.co.jp/jikoku/306.htm,0,,"Asia/Tokyo"
"P261",,"伊勢小学校","",35.645036,138.569728,,http://yamanashikotsu.co.jp/jikoku/78.htm,0,,"Asia/Tokyo"
"P263",,"伊勢二丁目","",35.646554,138.569653,,http://yamanashikotsu.co.jp/jikoku/81.htm,0,,"Asia/Tokyo"
"P265",,"遠光寺","",35.647589,138.569594,,http://yamanashikotsu.co.jp/jikoku/174.htm,0,,"Asia/Tokyo"
"P296",,"遊亀公園","",35.651423,138.570318,,http://yamanashikotsu.co.jp/jikoku/964.htm,0,,"Asia/Tokyo"
"P295",,"太田町見付","",35.652977,138.570455,,http://yamanashikotsu.co.jp/jikoku/149.htm,0,,"Asia/Tokyo"
"P299",,"若松町","",35.655745,138.571117,,http://yamanashikotsu.co.jp/jikoku/998.htm,0,,"Asia/Tokyo"
"P302",,"法人会館","",35.656998,138.571455,,http://yamanashikotsu.co.jp/jikoku/811.htm,0,,"Asia/Tokyo"
"P311",,"中央四丁目","",35.659981,138.572179,,http://yamanashikotsu.co.jp/jikoku/572.htm,0,,"Asia/Tokyo"
"P138",,"県庁前","",35.663224,138.568564,,http://yamanashikotsu.co.jp/jikoku/278.htm,0,,"Asia/Tokyo"
"P127",,"県会議事堂","",35.664736,138.567807,,http://yamanashikotsu.co.jp/jikoku/277.htm,0,,"Asia/Tokyo"
"P119",,"甲府駅バスターミナル(4番)","",35.666654,138.568679,,http://yamanashikotsu.co.jp/jikoku/310.htm,0,,"Asia/Tokyo"
"P397",,"丸の内二丁目北","",35.667277,138.565230,,http://yamanashikotsu.co.jp/jikoku/852.htm,0,,"Asia/Tokyo"
"P52",,"甲府駅北入口","",35.669850,138.565761,,http://yamanashikotsu.co.jp/jikoku/308.htm,0,,"Asia/Tokyo"
"P53",,"朝日五丁目南","",35.671931,138.566643,,http://yamanashikotsu.co.jp/jikoku/32.htm,0,,"Asia/Tokyo"
"P56",,"朝日五丁目","",35.673749,138.565806,,http://yamanashikotsu.co.jp/jikoku/31.htm,0,,"Asia/Tokyo"
"P148",,"一高前","",35.674579,138.563460,,http://yamanashikotsu.co.jp/jikoku/83.htm,0,,"Asia/Tokyo"
"P150",,"塩部","",35.676494,138.559321,,http://yamanashikotsu.co.jp/jikoku/397.htm,0,,"Asia/Tokyo"
"P152",,"北中入口","",35.677156,138.557186,,http://yamanashikotsu.co.jp/jikoku/241.htm,0,,"Asia/Tokyo"
"P154",,"県営アパート入口","",35.677917,138.554581,,http://yamanashikotsu.co.jp/jikoku/275.htm,0,,"Asia/Tokyo"
"P156",,"饅頭森入口","",35.678631,138.552269,,http://yamanashikotsu.co.jp/jikoku/859.htm,0,,"Asia/Tokyo"
"P160",,"湯村温泉入口","",35.680708,138.548689,,http://yamanashikotsu.co.jp/jikoku/977.htm,0,,"Asia/Tokyo"
"P364",,"湯村","",35.683139,138.548375,,http://yamanashikotsu.co.jp/jikoku/973.htm,0,,"Asia/Tokyo"
"P365",,"湯村団地入口","",35.686618,138.546554,,http://yamanashikotsu.co.jp/jikoku/977.htm,0,,"Asia/Tokyo"
"P367",,"湯村団地","",35.689152,138.545786,,http://yamanashikotsu.co.jp/jikoku/976.htm,0,,"Asia/Tokyo"
"P368",,"きぼうの家","",35.691566,138.546028,,http://yamanashikotsu.co.jp/jikoku/249.htm,0,,"Asia/Tokyo"
"P369",,"羽黒町","",35.692942,138.544172,,http://yamanashikotsu.co.jp/jikoku/727.htm,0,,"Asia/Tokyo"
"P370",,"千代田湖入口","",35.692622,138.540132,,http://yamanashikotsu.co.jp/jikoku/581.htm,0,,"Asia/Tokyo"
