route_id,service_id,trip_id,trip_headsign,"trip_short_name",direction_id,block_id,shape_id
"36_1201","233","5161",,,,,"36_1201"
"36_1201","everyday","5162",,,,,"36_1201"
"36_1201","everyday","5163",,,,,"36_1201"
"36_1201","233","5164",,,,,"36_1201"
"36_1201","everyday","5165",,,,,"36_1201"
"36_1201","everyday","5166",,,,,"36_1201"
"36_1201","everyday","5167",,,,,"36_1201"
"36_1201","233","5168",,,,,"36_1201"
"36_1201","everyday","5169",,,,,"36_1201"
"36_1201","everyday","5170",,,,,"36_1201"
"36_1201","everyday","5171",,,,,"36_1201"
"36_1201","233","5172",,,,,"36_1201"
"35_1202","everyday","5173",,,,,"35_1202"
"35_1202","233","5174",,,,,"35_1202"
"35_1202","everyday","5175",,,,,"35_1202"
"35_1202","233","5176",,,,,"35_1202"
"35_1202","everyday","5177",,,,,"35_1202"
"35_1202","everyday","5178",,,,,"35_1202"
"35_1202","everyday","5179",,,,,"35_1202"
"35_1202","233","5180",,,,,"35_1202"
"35_1202","everyday","5181",,,,,"35_1202"
"35_1202","233","5182",,,,,"35_1202"
"45_59","everyday","4924",,,,,"45_59"
"45_59","everyday","4932",,,,,"45_59"
"45_59","233","4934",,,,,"45_59"
"45_1203","233","5195",,,,,"45_1203"
"45_1203","everyday","5196",,,,,"45_1203"
"45_1203","everyday","5197",,,,,"45_1203"
"34_41","everyday","6276",,,,,"34_41"
"34_41","everyday","6277",,,,,"34_41"
"34_41","everyday","6278",,,,,"34_41"
"34_41","everyday","6279",,,,,"34_41"
"34_41","everyday","6280",,,,,"34_41"
"34_41","everyday","6281",,,,,"34_41"
"34_41","everyday","6282",,,,,"34_41"
"34_41","everyday","6283",,,,,"34_41"
"34_1207","everyday","6284",,,,,"34_1207"
"34_1207","everyday","6285",,,,,"34_1207"
"34_1207","everyday","6286",,,,,"34_1207"
"34_1207","everyday","6287",,,,,"34_1207"
"34_1207","everyday","6288",,,,,"34_1207"
"34_1207","everyday","6289",,,,,"34_1207"
